entity,pillar,title,url,source,date,demographics,iw_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Malawi,"Policy, Budget & Funding",Malawi exam results move online,https://news.google.com/rss/articles/CBMigwFBVV95cUxQc2tnS05fTGY2bV84WG9SdHlaRHozZ2pvRC1zcWMtSkthaGFnMUNRenBXUnZwS0lOOVZ5REtRMGV0NW45U1JyMHQ1LTJ2TFpkRWdfakRaTERWNTJHenRYV1ZDV0lQald2U2RObW9MdzFDU0R2Q1JRSkVoMUZxaWNpVV9tWQ?oc=5,ITWeb Africa,9 Sep 2026,,no,,,,no,yes,0,8
Malawi,"Policy, Budget & Funding",UNESCO Korea holds workshop for 9 countries under education aid program,https://www.koreatimes.co.kr/economy/others/20260915/data-ministry-explores-ai-friendly-global-data-standards-with-oecd-adb,The Korea Times,15 Sep 2026,,no,"Korea is stepping up efforts to make official statistics and other public data more accessible to artificial intelligence (AI) and explore AI-friendly global data standards to develop data that AI can more accurately understand and use, the Ministry of Data and Statistics said Tuesday.","Toward that end, in collaboration with the OECD and the Asian Development Bank (ADB), the ministry opened a three-day workshop in Seoul, Tuesday, bringing together more than 80 data experts from statistical agencies and central banks in 25 countries.","A key focus is Statistical Data and Metadata eXchange (SDMx), an international standard that enables statistics and related information to be exchanged across different systems.",yes,no,1,9
Malawi,"Policy, Budget & Funding",MANEB hailed for timely release of 2026 MSCE results,https://malawi24.com/2026/08/14/maneb-results-reportedly-surface-online-before-official-release/,Malawi24,9 Sep 2026,,no,,,,no,no,2,6
Malawi,"Policy, Budget & Funding",Mchulu questions free education restrictions,https://malawi24.com/2026/09/13/mchulu-questions-free-education-restrictions/,Malawi24,13 Sep 2026,,no,,,,no,no,3,5
Malawi,"Policy, Budget & Funding",2026/27 school year begins,https://malawi24.com/2026/09/14/2026-27-school-year-begins/,Malawi24,14 Sep 2026,,no,,,,no,no,4,4
Malawi,Learning Outcomes & Assessment,Maranatha blasts jealous rivals as school celebrates near-perfect pass rate - Education News Malawi,https://news.google.com/rss/articles/CBMipgFBVV95cUxOa2ZNRW9KLTBOUGpJSDBKVzFxMnc5aVV2NHFfSVJ0NUlvVjk5eE9WNmVqWEdxTVdmLTVKZGpkYzk1Q2RQUlRoOFY3ZjFVZGo0S3B2N3R6UnJDdTRJR1RUVWpLVkZhZ2huMzJldmxFZFdiMy1YSUFQdDllVFVFNTFpd1AtR3AxNm8yUGJBNU9QU2QzbTZwYm5RVVFfM1kwNGZ1dWNGTHJB?oc=5,Nyasa Times,9 Sep 2026,,no,,,,no,yes,0,8
Malawi,Technology & Innovation in Education,5 Ways Solar Technology in Malawi is Transforming Education,https://news.google.com/rss/articles/CBMiY0FVX3lxTE41cUtSLWQ4dHpJMEZ4WkZsNThLeWFMcWY0X3RfQUtQNkVJdDhlNkk4ZVZmMmR0VlQzd093ZENERXUxeHpXXzBYWlJ4cjhkdG52Y1lNdXZPQmVPalVqVFRHWEpPaw?oc=5,The Borgen Project,11 Sep 2026,,no,,,,no,yes,0,8
Malawi,Technology & Innovation in Education,ZAWYA: Injini launches incubator programme for African AI edtech founders,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNc2Nmek5BNHNjLXpkMk90TEhxeWlIUXNyUTFjb3hZeFR3Wmhrcm1iREs4Y0lWcUdWMVNRVU9nZ2twT1VtbDdBM2wxVVVjU2hYeml0d29JQ1pxQzc3MEhhXzBZUm0wWUhNbUlES1FJaThWMGMzX2tDSFlmZ3E4UFIxRXVwck5vb3FTbVZOSTNGenpkYXdXZkNtaHpsRWNqbS1iWk9vQzVRRkhjMF90QkRhclZGakNFNk5oWGV5b2Zmc1dSYXF6X3hXQ0t0ZFdQMHhjT1NvRzdQWEhDczl6SVluXw?oc=5,TradingView,8 Sep 2026,,no,,,,no,yes,1,7
Malawi,Technology & Innovation in Education,"Injini is Putting $125,000 Behind AI Built for African Classrooms",https://startupbeat.com/injini-is-putting-125000-behind-ai-built-for-african-classrooms/39590/,StartUp Beat,10 Sep 2026,,no,"Africa’s leading EdTech accelerator Injini, is committing $125,000 to a new venture-building initiative that will take early-stage teams across Southern Africa from ideation to market-ready EdTech startups.","The eight-month AI Venture Builder and Incubation Programme, supported by Coefficient Giving, opened applications on September 7 and will select 12 pre-formed teams from nine countries. Applicants must be based in Botswana, Eswatini, Lesotho, Malawi, Mozambique, Namibia, South Africa, Zambia or Zimbabwe.","Unlike a conventional accelerator that backs startups with existing products or traction, Injini is targeting teams still at the ideation stage. Their concepts, however, must address one of the program’s five focus areas : foundational learning; teacher capacity and classroom support; learner pathways and futures; inclusion and access; or ecosystem and engagement.",yes,no,2,8
Malawi,Technology & Innovation in Education,The choices we make about AI now are critical | Bill Gates,https://news.google.com/rss/articles/CBMipAFBVV95cUxPdkZWbUpTSFI2OFFRc08wNy1Dd2NNalROOVNFT2FTZDJyaDY0UFBHbm5kOFpRQVJPTXVZSEhfZ2NMOGpzZ09teG9jbUZDR01mcjBERDlKbmVPdF9pcDlOMFZiYUpkUmpXbUo1MS1DclZmSVpPQUgzZERNamx1cEdaenI5cmtYQW9XZzlfYXREbkE3OEUtZ0ZyYUNQWjF6T3hqM0FIcw?oc=5,Gates Notes,15 Sep 2026,,no,,,,no,yes,0,8
Malawi,Technology & Innovation in Education,"Gates Foundation to spend $1.27 billion to expand AI access to poor, remote communities",https://www.straitstimes.com/global,The Straits Times,15 Sep 2026,,no,Trump is unlikely to heed calls for intervention if that means the US slows down while China does not.,"The US market is exciting, but it can also be dangerous for young investors.",,yes,no,1,9
Malawi,Government & Program Context,MANEB Releases 2026 MSCE Results,https://malawi24.com/2026/08/14/maneb-results-reportedly-surface-online-before-official-release/,Malawi24,7 Sep 2026,,no,,,,no,no,3,5
Sierra Leone,"Policy, Budget & Funding","One Dollar a week – In the Central African Republic, women are growing their projects and their hopes",https://www.thesierraleonetelegraph.com/one-dollar-a-week-in-the-central-african-republic-women-are-growing-their-projects-and-their-hopes/,thesierraleonetelegraph.com,10 Sep 2026,Women,no,,,,no,no,0,8
Sierra Leone,"Policy, Budget & Funding",Apply now for Taranaki Foundation Annual Funding (New Zealand),https://www2.fundsforngos.org/individuals/apply-now-for-taranaki-foundation-annual-funding-new-zealand/,fundsforNGOs,13 Sep 2026,,no,,,,no,no,0,8
Sierra Leone,"Policy, Budget & Funding",NIGERIA: New St. Joseph Catholic Chapel in Imaweje constructed thanks to donor funding from Salesian Missions,https://missionnewswire.org/nigeria-new-st-joseph-catholic-chapel-in-imaweje-constructed-thanks-to-donor-funding-from-salesian-missions/,missionnewswire.org,15 Sep 2026,,no,,,,no,no,1,7
Sierra Leone,"Policy, Budget & Funding",RWANDA: 2 Don Bosco centers construct new sanitation facilities thanks to donor funding from Salesian Missions,https://missionnewswire.org/rwanda-2-don-bosco-centers-construct-new-sanitation-facilities-thanks-to-donor-funding-from-salesian-missions/,missionnewswire.org,14 Sep 2026,,no,,,,no,no,2,6
Sierra Leone,"Policy, Budget & Funding",INTERNATIONAL LITERACY DAY: Salesian Missions highlights educational programs,https://missionnewswire.org/international-literacy-day-salesian-missions-highlights-educational-programs-2/,missionnewswire.org,8 Sep 2026,,no,,,,no,no,3,5
Sierra Leone,Learning Outcomes & Assessment,"Back to School, Back to Learning: Building Strong Foundations for Every Child.",https://news.google.com/rss/articles/CBMirAFBVV95cUxPTUlNWkxtSm1GazI1S0xaa01lRUhkSGpNMXBpWE95blF0ejdQZFdxenRHODdjbkpHdWF0OXpqUENrRzFST3ZLUWxCRnFvQXlTNElYdVBhVFR1MjN2MEEtRVJxT3loODZOdUpyUXo3c3dhR0tRZGdKbnJHZW4ySFBiYm5OdWZJVUU2SlE3N21wblhZTkd6WXBuZmhtVkZRYURRVEdVYXgwUmp4d3du?oc=5,UNICEF,14 Sep 2026,,no,,,,no,yes,0,8
Sierra Leone,Technology & Innovation in Education,Sierra Leone Highlights Youth Skills and Employment Agenda at Global Knowledge Forum in Rabat,https://panafricanvisions.com/2026/09/fatima-bio-launches-flot-as-sierra-leone-steps-up-digital-finance-and-global-payments/,pan african visions,10 Sep 2026,Youth,no,,,,no,no,0,8
Sierra Leone,Technology & Innovation in Education,Photos: Young Africans join global delegates in Russia for 2026 IYF,https://www.myjoyonline.com/photos-young-africans-join-global-delegates-in-russia-for-2026-iyf/,MyJoyOnline,13 Sep 2026,,no,,,,no,no,1,7
Sierra Leone,Technology & Innovation in Education,"After warning AI is too dangerous, Bill Gates bets a billion on its upside",https://the-decoder.com/after-warning-ai-is-too-dangerous-bill-gates-bets-a-billion-on-its-upside/,the-decoder.com,15 Sep 2026,,no,,,,no,no,0,8
Sierra Leone,Technology & Innovation in Education,Microsoft commits to sweeping AI privacy rules for students. Will other tech giants follow?,https://kdhnews.com/users/login/?referer_url=https%3A%2F%2Fkdhnews.com%2Fsearch%2F%3Fkeywords%3DMicrosoft%2Bcommits%2Bto%2Bsweeping%2BAI%2Bprivacy%2Brules%2Bfor%2Bstudents%2B%2BWill%2Bother%2Btech%2Bgiants%2Bfollow,The Killeen Daily Herald,15 Sep 2026,,no,,,,no,no,1,7
Sierra Leone,Technology & Innovation in Education,"Billions of people could be left behind by AI because it doesn’t understand their needs, Gates Foundation warns",https://www.independent.co.uk/news/health/ai-poverty-inequality-gates-foundation-b3049925.html,The Independent,15 Sep 2026,,no,"Billions of people risk being left behind by artificial intelligence because it does not understand their languages or the conditions they live in, the Gates Foundation has warned.","The rapid rise in the use of AI risks widening the gap between rich and poor unless it is deliberately built to serve people in the world’s poorest countries, the Foundation’s annual report on global progress found.","More than 90 per cent of the data used to train early large language models came from English-language sources, with leading AI speech-recognition systems makeing errors less than 6 per cent of the time in English.",yes,no,2,8
Sierra Leone,"Teachers, Schools & Continuity","Sierra Leone - Politics, Economy, Society",https://news.google.com/rss/articles/CBMid0FVX3lxTE9Lb2pXN3lTaHpFMVI4RkVpR2hQenJ0M2E2a1dYcjM4R05xVGNRZjQ5Z0dsT0JVX1NJazhNeEZ4VEJoM3NBdmFqSU1XUkM1aTNOV1NQbWd1Rkl0QkI0Tnd0UHZySFNhWnBiYjJocEN1alhPZDZKM1VF?oc=5,Britannica,10 Sep 2026,,no,,,,no,yes,0,8
Sierra Leone,"Teachers, Schools & Continuity","Sierra Leone - Resources, Power, Economy",https://news.google.com/rss/articles/CBMic0FVX3lxTE1DdmFVbjkwbE1oQ2phWlZBeEFCYi1nWHNVMjN1Qm5iYXBZNFhleVBuTzR3eko1dUdSQmNMel9xbUdnUnVJUnVteXBPcmg3MUExVTl6UXpzd3lNMnV2dDlxLXB5eFZJc1pHMUMybTY5VVIwZXM?oc=5,Britannica,10 Sep 2026,,no,,,,no,yes,1,7
Sierra Leone,"Teachers, Schools & Continuity",Mobile education builds resilience during shocks in five countries,https://www.nature.com/articles/s41586-026-10990-x,Nature,9 Sep 2026,,no,,,,no,no,0,8
Sierra Leone,"Teachers, Schools & Continuity","Redistricting, school closures on table for Bedford schools",https://news.google.com/rss/articles/CBMioAFBVV95cUxObFdrRl9GaFhkV2NlM0EtOEgtVTUxQjR3cUdQZTJrakZyRmp4c2pPQW1MOThGM0JsSkdobHhqcnN0Mnhqa3BPYndETFMwamZjcEpkWVVsS3BDQWd2R2tFbkU1X2Yyc3VfVkxMSi1zcjBrUDladXQyTVV6UE1sMlVqMEpJMDZLV3VQaXQ0cjI2UlpveU5XRnNqY2hxd09HbU8x?oc=5,Roanoke Times,13 Sep 2026,,no,,,,no,yes,1,7
Sierra Leone,"Teachers, Schools & Continuity",School closures among options weighed to address Tulsa Public Schools budget gap,https://news.google.com/rss/articles/CBMimAFBVV95cUxNUnBWODlVajBuaEtDTjNfNVFBWkI4ZV9rMFRHekJBRl9JRDJhcFZkTVZYLWZJRFBqVVVXT2EwVDBYUUQ1MzJuNk1JYUpCWjhVQjFST2Y0Z0dWcWdnQXBtSGkyd3dHMVhiRERTSmZNXzhjR0Zpdnk4bkZ3X25LSFAtMUpONUZIaXhtekN0TmNldXVlV2Q2cGFoSg?oc=5,Tulsa World,10 Sep 2026,,no,,,,no,yes,2,6
Sierra Leone,Education & the Workforce,Japan supports new youth employment trianing in Sierra leone 1,https://www.thesierraleonetelegraph.com/sierra-leone-youths-to-benefit-from-japan-and-iom-partnership/,thesierraleonetelegraph.com,9 Apr 2019,Youth,no,,,,no,no,1,7
Sierra Leone,Government & Program Context,He Rides 40 Minutes Every Morning for His Students: Meet Mohamed Nelly Koroma,https://www.switsalone.com/he-rides-40-minutes-every-morning-for-his-students-meet-mohamed-nelly-koroma/,switsalone.com,10 Sep 2026,,no,,,,no,no,1,7
Tanzania,"Policy, Budget & Funding",Samia Scholarship innovations eye practical use,https://www.thecitizen.co.tz/samia-scholarship-innovations-eye-practical-use/,thecitizen.co.tz,15 Sep 2026,,no,,,,no,no,0,8
Tanzania,"Policy, Budget & Funding",Beyond literacy: Tanzania seeks to give adult education new role in development,https://news.google.com/rss/articles/CBMipgFBVV95cUxNU0ozX0Z0OFJVYVd0NVRaazIxTjlHS2NCOGptb2Jxc1VMUDlTRkpGd2ZWdVJvLXBIY19HWFRIaXVvNW52Si1yRFhJeUJsWXZlaXc5elJuTFA5dkVjYUVmLUJtMGV1N0FZVVQ3cVo2UXFDWmpIVThNM1FaMDZxZk40YUJQZDVDakRxV01rbDFPSVJJQ2pkbTdKdVU0MmdBMk5HMGVBMGFn?oc=5,dailynews.co.tz,9 Sep 2026,,no,,,,no,yes,1,7
Tanzania,"Policy, Budget & Funding",UNESCO Korea holds workshop for 9 countries under education aid program,https://www.koreatimes.co.kr/economy/others/20260915/data-ministry-explores-ai-friendly-global-data-standards-with-oecd-adb,The Korea Times,15 Sep 2026,,no,"Korea is stepping up efforts to make official statistics and other public data more accessible to artificial intelligence (AI) and explore AI-friendly global data standards to develop data that AI can more accurately understand and use, the Ministry of Data and Statistics said Tuesday.","Toward that end, in collaboration with the OECD and the Asian Development Bank (ADB), the ministry opened a three-day workshop in Seoul, Tuesday, bringing together more than 80 data experts from statistical agencies and central banks in 25 countries.","A key focus is Statistical Data and Metadata eXchange (SDMx), an international standard that enables statistics and related information to be exchanged across different systems.",yes,no,2,8
Tanzania,"Policy, Budget & Funding",IIT Gandhinagar brings together faculty from 20 countries for two-week ITEC programme,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5GanhDQzl4cFBMVjZLT0llMnRvTHg1S3JzRDFIaW1Femc4VXd6eXhrTW0yN21SbHkxVG5TQzN1RE9TY2tSYnZMNkNwV0ptdFZYR0tjRUZPa240WDZ4bktQam9ISQ?oc=5,PIB,14 Sep 2026,,no,,,,no,yes,3,5
Tanzania,"Policy, Budget & Funding",Samia Scholarship takes 150 students to Algeria,https://dailynews.co.tz/samia-scholarship-takes-150-students-to-algeria/,dailynews.co.tz,13 Sep 2026,,no,,,,no,no,4,4
Tanzania,Learning Outcomes & Assessment,Beyond digital as usual,https://news.google.com/rss/articles/CBMifEFVX3lxTE5UazZFakVIbWVuZC1XNmljOWR1VnlBNDdOX3Bmd1BxTWhSRXRFODFlYXNxRnhlSU9ETU1NTGF2QmtESUR3MFN0RnJVd2hNbVk1b0Y0QWN0blFQZ0sxcUhQcjZqTWJXX19HMGFsRXdsNzZQTDhfWEh5YnlrbnI?oc=5,UNICEF,9 Sep 2026,,no,,,,no,yes,0,8
Tanzania,Learning Outcomes & Assessment,"Enuma Showcases 'Enuma School' at World Bank Expo, Introduces Solution to Education Officials from 19 Countries",https://news.google.com/rss/articles/CBMidkFVX3lxTE84d1BvYldyT05WcEpHT1l3RHpwTFp2MHhuSU95anR1YnU1TnFLSk00dFpqd3hkUmUwZExBb2hHQ3FfMVVsRmJGTnl2LVNtUngyeTlYWldGUUgwYVhlS3hEMXhYWEdsSmJFNEdQb29IOU9ZVjVJeHc?oc=5,finance.biggo.com,7 Sep 2026,,no,,,,no,yes,1,7
Tanzania,Learning Outcomes & Assessment,"Vodacom Trains More Than 400,000 Young People in Digital Skills Since 2024",https://news.google.com/rss/articles/CBMikgFBVV95cUxPZnpENEszbkRfUUxTVEFYaUNyLVZiOFg5NVpzS25qNkt6ak1RTnhWSVNqX3lPRnJfREk4MV9zT0NWNlIxX3pqN0QtcnhLcW9yWXItOXM3WkxhX2RsbXlQRnZ3M2VBMkdvckVuT3JjYkhMUUFscnJDZENZU0tpMWNzN1Vqd2NxTnVYQm1qd3E4MktPUQ?oc=5,techafricanews.com,8 Sep 2026,,no,,,,no,yes,2,10
Tanzania,Technology & Innovation in Education,Photos: Young Africans join global delegates in Russia for 2026 IYF,https://www.myjoyonline.com/photos-young-africans-join-global-delegates-in-russia-for-2026-iyf/,MyJoyOnline,13 Sep 2026,,no,,,,no,no,2,6
Tanzania,Technology & Innovation in Education,The turbulent AI era is here. The choices we make now are critical.,https://news.google.com/rss/articles/CBMipAFBVV95cUxPdkZWbUpTSFI2OFFRc08wNy1Dd2NNalROOVNFT2FTZDJyaDY0UFBHbm5kOFpRQVJPTXVZSEhfZ2NMOGpzZ09teG9jbUZDR01mcjBERDlKbmVPdF9pcDlOMFZiYUpkUmpXbUo1MS1DclZmSVpPQUgzZERNamx1cEdaenI5cmtYQW9XZzlfYXREbkE3OEUtZ0ZyYUNQWjF6T3hqM0FIcw?oc=5,Gates Notes,15 Sep 2026,,no,,,,no,yes,0,8
Tanzania,Technology & Innovation in Education,Tanzania joins Africa debate on universities in AI chapter,https://www.thecitizen.co.tz/tanzania-joins-africa-debate-on-universities-in-ai-chapter/,thecitizen.co.tz,15 Sep 2026,,no,,,,no,no,2,6
Tanzania,Technology & Innovation in Education,"AI adoption faces awareness, funding challenges",https://news.google.com/rss/articles/CBMie0FVX3lxTE9xbXViTG1OSUxJU0sxcC1rMURxeVJITExDSzJlX0RQN1djX2REMEhpUTRKY0RCcFk2RldRR3ZzVzJrVG5rbmhvYUZYUEhvQ0RDWDlJTlo1ZHVXODE0U3pUMVJUTmh4YkMtRFlfTDVvc3hWZW1VWWMwQmJrWQ?oc=5,dailynews.co.tz,15 Sep 2026,,no,,,,no,yes,3,5
